date,year,season,chambre,consultation,bureau
2014-01-01,2014,winter,20.2151910336284,27.7744098964736,31.8210765655798
2014-01-02,2014,winter,21.1475887755046,28.066175532391,30.331633374142
2014-01-03,2014,winter,22.0224734024073,30.35789536414,31.8791234172536
2014-01-04,2014,winter,22.2653454563606,28.3009964150335,33.3427812001528
2014-01-05,2014,winter,21.2068604357256,28.0586505962484,31.4294438328762
2014-01-06,2014,winter,24.6511175522512,26.5276543616351,31.4306071263125
2014-01-07,2014,winter,21.5078684139321,27.8727535345408,32.9921058433485
2014-01-08,2014,winter,22.0305021096545,27.6485713337517,32.491930077694
2014-01-09,2014,winter,22.616050420178,27.8588516571092,29.9450390186297
2014-01-10,2014,winter,21.9402399182505,27.2944798456474,31.8220908102732
2014-01-11,2014,winter,21.3226911659973,27.1830818344759,33.2470810716887
2014-01-12,2014,winter,23.0115642169878,27.1491238550984,33.0088101869301
2014-01-13,2014,winter,23.5818038762316,27.6553929715188,32.0134854408252
2014-01-14,2014,winter,21.9365645819746,29.2380301349472,32.3147546441239
2014-01-15,2014,winter,22.5285258984275,28.9189841134779,30.3965986248223
2014-01-16,2014,winter,21.8688460545218,27.5099223689755,31.8936654038924
2014-01-17,2014,winter,22.9827137707266,26.1839810323798,30.6390849018232
2014-01-18,2014,winter,20.8100911587646,27.0253140583826,31.1355157689141
2014-01-19,2014,winter,24.2871187770189,27.412136953678,32.5291375207906
2014-01-20,2014,winter,21.3627273052361,27.9735354911469,30.4566407253199
2014-01-21,2014,winter,20.5074091385864,27.2072902112177,31.8604520878841
2014-01-22,2014,winter,21.6153407258314,29.8765781777504,32.0218658764825
2014-01-23,2014,winter,22.1129670371694,27.5976299525002,31.6484458068506
2014-01-24,2014,winter,23.5898797607047,26.655953016679,33.4157226588464
2014-01-25,2014,winter,22.8774682297958,27.728635729636,30.5711865084358
2014-01-26,2014,winter,22.1087169850702,26.8645199053251,32.1996640984466
2014-01-27,2014,winter,20.5767750290363,28.0260531941939,31.5046032695603
2014-01-28,2014,winter,21.1002208083523,28.1035311010084,31.3327015931771
2014-01-29,2014,winter,21.8029736207952,28.2254850985469,32.0576250708634
2014-01-30,2014,winter,24.519284666485,26.2480392277943,30.5731332463271
2014-01-31,2014,winter,20.106030978806,28.0906087778892,30.2800829204926
2014-02-01,2014,winter,23.0973132048705,28.1803475674602,31.0990529615276
2014-02-02,2014,winter,21.4390242957905,26.4487890394141,33.3452909867665
2014-02-03,2014,winter,23.6322494530119,28.825263126649,31.6492986116235
2014-02-04,2014,winter,20.827057913051,28.6540683660129,31.9249682352389
2014-02-05,2014,winter,22.1098817876872,30.169516848073,31.4036871993335
2014-02-06,2014,winter,20.8667076113217,28.0266004742943,32.0640265689648
2014-02-07,2014,winter,22.8697749793861,27.9166310144366,30.6418542939939
2014-02-08,2014,winter,23.4500380417625,27.966483321001,32.7514443035796
2014-02-09,2014,winter,23.9169795594256,27.9396637178189,32.1782390972524
2014-02-10,2014,winter,22.763859210614,26.0214247115809,30.7870810143193
2014-02-11,2014,winter,23.8095248076023,26.1987704282763,31.648087082823
2014-02-12,2014,winter,23.2126824616861,27.7923585201274,32.3098654565101
2014-02-13,2014,winter,21.8343836412004,27.2888301063521,32.1512648190656
2014-02-14,2014,winter,22.4432957913091,27.924634011976,33.0754678528879
2014-02-15,2014,winter,20.9942643415485,25.758689113658,30.9805460821162
2014-02-16,2014,winter,21.7810563836235,26.3711992323918,32.7096704525014
2014-02-17,2014,winter,23.1872222613733,26.7684140479798,32.6300818469522
2014-02-18,2014,winter,22.5075426965068,28.8559557079788,31.4310507051081
2014-02-19,2014,winter,22.4236158846498,26.7714074798284,30.6176071441891
2014-02-20,2014,winter,20.9281275133372,27.070383533342,30.5043886461265
2014-02-21,2014,winter,21.3617453226903,27.9497713055926,32.051320794956
2014-02-22,2014,winter,21.2016525392709,27.5471511250934,31.5224071032901
2014-02-23,2014,winter,22.3615544230379,28.0163146655865,33.3726365038625
2014-02-24,2014,winter,20.9757509225579,30.1749594689642,32.1286717975072
2014-02-25,2014,winter,22.5282999431235,26.7452938156603,31.2215889618475
2014-02-26,2014,winter,20.8498421410909,27.5644278470087,30.5679915885139
2014-02-27,2014,winter,23.7947890111598,27.3531380371748,31.0111321624058
2014-02-28,2014,winter,22.4268499025025,29.382292913751,31.9364222299083
2014-03-01,2014,winter,21.2652549407712,27.1004125640283,31.1425991899543
2014-03-02,2014,winter,22.2073044855257,27.7878105831428,32.1077639572417
2014-03-03,2014,winter,21.6138053537965,28.6570311012413,31.2591957848412
2014-03-04,2014,winter,22.3374065127841,26.8113069509702,31.4879739282165
2014-03-05,2014,winter,22.2097912717847,29.5250733026606,30.8630241642032
2014-03-06,2014,winter,20.952144380363,28.5456599023928,33.4985774219197
2014-03-07,2014,winter,21.174944674205,26.7956908773882,31.9261555684814
2014-03-08,2014,winter,22.265852237764,28.3244752959763,31.8241674775105
2014-03-09,2014,winter,23.605310461776,27.6565903436855,29.9016714221269
2014-03-10,2014,winter,23.0508755616954,28.1831262589129,32.2533257365603
2014-03-11,2014,winter,21.3416910794064,27.7799222899029,30.5699102481313
2014-03-12,2014,winter,22.7921814546719,28.9404135236969,30.7020122626567
2014-03-13,2014,winter,21.9176902002682,26.5187971012152,32.5118750080327
2014-03-14,2014,winter,22.2675722047429,27.3472807897226,31.1408331905028
2014-03-15,2014,winter,22.226620043761,27.6207068091632,29.8451615570078
2014-03-16,2014,winter,24.5417083167478,26.8740987620672,33.3634379469004
2014-03-17,2014,winter,20.7809697424372,26.8299424431524,29.2161269116185
2014-03-18,2014,winter,22.0671784120373,27.8519172463419,32.1663453668706
2014-03-19,2014,winter,20.1862812650568,27.7377223540618,32.6107830860956
2014-03-20,2014,winter,22.5560944759832,25.3205547121681,30.9625659703505
2014-03-21,2014,spring,10.9594263310265,14.1391972077148,15.7041911863861
2014-03-22,2014,spring,10.9542696680035,10.5005126951613,15.7737618726256
2014-03-23,2014,spring,11.5557624325295,12.3795981576043,13.52879174103
2014-03-24,2014,spring,10.9992386675675,14.7641402334884,14.4776958177151
2014-03-25,2014,spring,10.2702555005224,14.8930260184093,15.7700406049775
2014-03-26,2014,spring,11.4311313375552,12.8560312726952,15.577243740065
2014-03-27,2014,spring,11.3157616361247,11.8358269987314,14.641658186722
2014-03-28,2014,spring,9.57857024547915,12.8648933688355,13.8509893388864
2014-03-29,2014,spring,9.11435184561921,12.046661553398,15.488158295016
2014-03-30,2014,spring,10.6754168196081,14.1522532316365,16.4960232806237
2014-03-31,2014,spring,10.2411769048398,11.892953293642,17.615766146857
2014-04-01,2014,spring,9.52960016705265,13.0723475445538,15.8040707212201
2014-04-02,2014,spring,10.59906995913,13.3192860239137,17.3357123555572
2014-04-03,2014,spring,9.19514275312804,11.9419257886492,15.9255496725654
2014-04-04,2014,spring,10.6763656309411,13.5509606308512,15.958059619189
2014-04-05,2014,spring,9.89021089207303,11.9515059784287,16.1673528282782
2014-04-06,2014,spring,11.4723035538074,13.329675778999,14.9719502696685
